yearid,source_type,fuel,pollutantid,pollutantname,sourcetypeid,fueltypeid,payload,inventory,activity,emission_factor,units
2024,Refuse Trucks,Gasoline,1,Total Gaseous Hydrocarbons,51,1,9,6585.67428,3976108.115,0.000184035,kg/ton-km 
2024,Refuse Trucks,Gasoline,2,Carbon Monoxide (CO),51,1,9,160108.6523,3976108.115,0.004474187,kg/ton-km 
2024,Refuse Trucks,Gasoline,3,Oxides of Nitrogen (NOx),51,1,9,13348.30915,3976108.115,0.000373014,kg/ton-km 
2024,Refuse Trucks,Gasoline,5,Methane (CH4),51,1,9,590.5229201,3976108.115,1.6502E-05,kg/ton-km 
2024,Refuse Trucks,Gasoline,6,Nitrous Oxide (N2O),51,1,9,243.8606299,3976108.115,6.81461E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,20,Benzene,51,1,9,133.0129346,3976108.115,3.71701E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,21,Ethanol,51,1,9,395.1443537,3976108.115,1.10422E-05,kg/ton-km 
2024,Refuse Trucks,Gasoline,24,"1,3-Butadiene",51,1,9,16.3378123,3976108.115,4.56555E-07,kg/ton-km 
2024,Refuse Trucks,Gasoline,25,Formaldehyde,51,1,9,47.79826254,3976108.115,1.33571E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,26,Acetaldehyde,51,1,9,41.96663077,3976108.115,1.17274E-06,kg/ton-km 
2024,Refuse Trucks,Gasoline,27,Acrolein,51,1,9,2.282455475,3976108.115,6.37825E-08,kg/ton-km 
2024,Refuse Trucks,Gasoline,30,Ammonia (NH3),51,1,9,883.6517771,3976108.115,2.46934E-05,kg/ton-km 
2024,Refuse Trucks,Gasoline,31,Sulfur Dioxide (SO2),51,1,9,25.18320274,3976108.115,7.03737E-07,kg/ton-km 
2024,Refuse Trucks,Gasoline,35,Nitrate (NO3),51,1,9,1.541949689,3976108.115,4.30893E-08,kg/ton-km 
2024,Refuse Trucks,Gasoline,36,Ammonium (NH4),51,1,9,14.63632199,3976108.115,4.09007E-07,kg/ton-km 
