SourceListName,SourceFlowName,SourceFlowUUID,SourceFlowContext,SourceUnit,MatchCondition,ConversionFactor,TargetFlowName,TargetFlowUUID,TargetFlowContext,TargetUnit,Mapper,Verifier,LastUpdated
MOVES,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",,air,kg,=,1,"1,2,3,4,6,7,8-Heptachlorodibenzofuran",366db8ca-5a41-354b-9847-179eb2759073,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-Dioxin",,air,kg,=,1,"1,2,3,4,6,7,8-Heptachlorodibenzo-p-dioxin",f308c394-340b-3abb-8c2b-2e829fb36f2b,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",,air,kg,=,1,"1,2,3,4,7,8,9-Heptachlorodibenzofuran",0adc7aaa-00dd-3ecd-a8db-4ce173a20591,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,4,7,8-Hexachlorodibenzofuran",,air,kg,=,1,"1,2,3,4,7,8-Hexachlorodibenzofuran",159f55db-a054-3dec-99be-023f3ec1a4af,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,4,7,8-Hexachlorodibenzo-p-Dioxin",,air,kg,=,1,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",a0df9853-65b8-350d-a719-dc21114176ee,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,6,7,8-Hexachlorodibenzofuran",,air,kg,=,1,"1,2,3,6,7,8-Hexachlorodibenzofuran",871dc48b-a85c-33ff-98e2-cce2dbd63753,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,6,7,8-Hexachlorodibenzo-p-Dioxin",,air,kg,=,1,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",ae0dc249-97ae-3575-a2ea-99c3d2d312b0,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,7,8,9-Hexachlorodibenzofuran",,air,kg,=,1,"1,2,3,7,8,9-Hexachlorodibenzofuran",3efad51e-9c16-38ed-ac61-1c75af400df4,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,7,8,9-Hexachlorodibenzo-p-Dioxin",,air,kg,=,1,"1,2,3,7,8,9-Hexachlorodibenzo-p-dioxin",b330e0bd-997f-3ae9-9bff-244143bf66a6,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,7,8-Pentachlorodibenzofuran",,air,kg,=,1,"1,2,3,7,8-Pentachlorodibenzofuran",4bcfae90-6a41-3fed-97a1-919f9e4cedf0,emission/air,kg,Chen,,12/8/2025
MOVES,"1,2,3,7,8-Pentachlorodibenzo-p-Dioxin",,air,kg,=,1,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",66fa486a-a469-3111-81ea-02f3ee6477ba,emission/air,kg,Chen,,12/8/2025
MOVES,"1,3-Butadiene",,air,kg,=,1,"1,3-Butadiene",457411b2-4dac-3eb2-965d-97b60660afa2,emission/air,kg,Chen,,12/8/2025
MOVES,"2,2,4-Trimethylpentane",,air,kg,=,1,"2,2,4-Trimethylpentane",3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,emission/air,kg,Chen,,12/8/2025
MOVES,"2,3,4,6,7,8-Hexachlorodibenzofuran",,air,kg,=,1,"2,3,4,6,7,8-Hexachlorodibenzofuran",e3650058-0426-3a79-a606-758f352723e1,emission/air,kg,Chen,,12/8/2025
MOVES,"2,3,4,7,8-Pentachlorodibenzofuran",,air,kg,=,1,"2,3,4,7,8-Pentachlorodibenzofuran",90f1b922-1629-368b-a10b-f942f06f26b3,emission/air,kg,Chen,,12/8/2025
MOVES,"2,3,7,8-Tetrachlorodibenzofuran",,air,kg,=,1,"2,3,7,8-Tetrachlorodibenzofuran",cd0e6ccf-b6af-3faa-aeea-43b548b85479,emission/air,kg,Chen,,12/8/2025
MOVES,"2,3,7,8-Tetrachlorodibenzo-p-Dioxin",,air,kg,=,1,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",ceb19cad-78ed-3635-902c-d7ac03e5b830,emission/air,kg,Chen,,12/8/2025
MOVES,Acenaphthene gas,,air,kg,=,1,Acenaphthene,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,emission/air,kg,Chen,,12/8/2025
MOVES,Acenaphthene particle,,air,kg,=,1,Acenaphthene,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,emission/air,kg,Chen,,12/8/2025
MOVES,Acenaphthylene gas,,air,kg,=,1,Acenaphthylene,34b07e52-3833-3665-aeec-01aed3f78362,emission/air,kg,Chen,,12/8/2025
MOVES,Acenaphthylene particle,,air,kg,=,1,Acenaphthylene,34b07e52-3833-3665-aeec-01aed3f78362,emission/air,kg,Chen,,12/8/2025
MOVES,Acetaldehyde,,air,kg,=,1,Acetaldehyde,09dc3fe9-7e57-321f-9e04-34375bf2a0b7,emission/air,kg,Chen,,12/8/2025
MOVES,Acrolein,,air,kg,=,1,Acrolein,ba9cee15-a144-3c38-9a3b-36931d4e64e9,emission/air,kg,Chen,,12/8/2025
MOVES,Ammonia (NH3),,air,kg,=,1,Ammonia,65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,emission/air,kg,Chen,,12/8/2025
MOVES,Anthracene gas,,air,kg,=,1,Anthracene,5aaca76f-ed8b-3dc6-9cb3-597421c567ac,emission/air,kg,Chen,,12/8/2025
MOVES,Anthracene particle,,air,kg,=,1,Anthracene,5aaca76f-ed8b-3dc6-9cb3-597421c567ac,emission/air,kg,Chen,,12/8/2025
MOVES,Arsenic Compounds,,air,kg,=,1,Arsenic compounds,65d56a65-e766-3e57-8da8-f2accb61e9fc,emission/air,kg,Chen,,12/8/2025
MOVES,Atmospheric CO2,,air,kg,=,1,Carbon dioxide,b6f010fb-a764-3063-af2d-bcb8309a97b7,emission/air,kg,Chen,,12/8/2025
MOVES,Benz(a)anthracene gas,,air,kg,=,1,Benz[a]anthracene,248c35a7-7964-3f7b-aff8-9f29e983835e,emission/air,kg,Chen,,12/8/2025
MOVES,Benz(a)anthracene particle,,air,kg,=,1,Benz[a]anthracene,248c35a7-7964-3f7b-aff8-9f29e983835e,emission/air,kg,Chen,,12/8/2025
MOVES,Benzene,,air,kg,=,1,Benzene,565c5d1a-1e0e-35f3-82a0-4845c43d3dcf,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(a)pyrene gas,,air,kg,=,1,Benzo[a]fluoranthene,afa16840-ff2c-355c-84b6-6ce028c12439,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(a)pyrene particle,,air,kg,=,1,Benzo[a]fluoranthene,afa16840-ff2c-355c-84b6-6ce028c12439,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(b)fluoranthene gas,,air,kg,=,1,Benzo(b)fluoranthene,920c61f8-5c4a-3900-b070-9a437d2738b8,emission/air,kg,Chen,,12/8/2025
MOVES,Benzo(b)fluoranthene particle,,air,kg,=,1,Benzo(b)fluoranthene,920c61f8-5c4a-3900-b070-9a437d2738b8,emission/air,kg,Chen,,12/8/2025
