sector,scc,equipment,flowname,FlowContext,ProcessContext
Recreational,2260001010,2-Str Offroad Motorcycles,,,
Recreational,2260001020,2-Str Snowmobiles,,,
Recreational,2260001030,2-Str All Terrain Vehicles,,,
Recreational,2260001060,2-Str Specialty Vehicle Carts,,,
Recreational,2265001010,4-Str Offroad Motorcycles,,,
Recreational,2265001030,4-Str All Terrain Vehicles,,,
Recreational,2265001050,4-Str Golf Carts,,,
Recreational,2265001060,4-Str Specialty Vehicle Carts,,,
Construction,2260002006,2-Str Tampers/Rammers,,,
Construction,2260002009,2-Str Plate Compactors,,,
Construction,2260002021,2-Str Paving Equipment,,,
Construction,2260002027,2-Str Signal Boards/Light Plants,,,
Construction,2260002039,2-Str Concrete/Industrial Saws,,,
Construction,2260002054,2-Str Crushing/Proc. Equipment,,,
Construction,2265002003,4-Str Pavers,,,
Construction,2265002006,4-Str Tampers/Rammers,,,
Construction,2265002009,4-Str Plate Compactors,,,
Construction,2265002015,4-Str Rollers,,,
Construction,2265002021,4-Str Paving Equipment,,,
Construction,2265002024,4-Str Surfacing Equipment,,,
Construction,2265002027,4-Str Signal Boards/Light Plants,,,
Construction,2265002030,4-Str Trenchers,,,
Construction,2265002033,4-Str Bore/Drill Rigs,,,
Construction,2265002039,4-Str Concrete/Industrial Saws,,,
Construction,2265002042,4-Str Cement & Mortar Mixers,,,
Construction,2265002045,4-Str Cranes,,,
Construction,2265002054,4-Str Crushing/Proc. Equipment,,,
Construction,2265002057,4-Str Rough Terrain Forklift,,,
Construction,2265002060,4-Str Rubber Tire Loaders,,,
Construction,2265002066,4-Str Tractors/Loaders/Backhoes,,,
Construction,2265002072,4-Str Skid Steer Loaders,,,
Construction,2265002078,4-Str Dumpers/Tenders,,,
Construction,2265002081,4-Str Other Construction Equipment,,,
Industrial,2260003030,2-Str Sweepers/Scrubbers,,,
Industrial,2260003040,2-Str Other General Industrial Eqp,,,
Industrial,2265003010,4-Str Aerial Lifts,,,
Industrial,2265003020,4-Str Forklifts,,,
Industrial,2265003030,4-Str Sweepers/Scrubbers,,,
Industrial,2265003040,4-Str Other General Industrial Eqp,,,
Industrial,2265003050,4-Str Other Material Handling Eqp,,,
Industrial,2265003060,4-Str ACRefrigeration,,,
Industrial,2265003070,4-Str Terminal Tractors,,,
Lawn/Garden,2260004015,2-Str Rotary Tillers < 6 HP (res),,,
Lawn/Garden,2260004016,2-Str Rotary Tillers < 6 HP (com),,,
Lawn/Garden,2260004020,2-Str Chain Saws < 6 HP (res),,,
Lawn/Garden,2260004021,2-Str Chain Saws < 6 HP (com),,,
Lawn/Garden,2260004025,2-Str Trimmers/Edgers/Brush Cutter (res),,,
Lawn/Garden,2260004026,2-Str Trimmers/Edgers/Brush Cutter (com),,,
Lawn/Garden,2260004030,2-Str Leafblowers/Vacuums (res),,,
Lawn/Garden,2260004031,2-Str Leafblowers/Vacuums (com),,,
Lawn/Garden,2260004035,2-Str Snowblowers (res),,,
Lawn/Garden,2260004036,2-Str Snowblowers (com),,,
Lawn/Garden,2260004071,2-Str Commercial Turf Equipment (com),,,
Lawn/Garden,2265004010,4-Str Lawn mowers (res),,,
Lawn/Garden,2265004011,4-Str Lawn mowers (Com),,,
Lawn/Garden,2265004015,4-Str Rotary Tillers < 6 HP (res),,,
Lawn/Garden,2265004016,4-Str Rotary Tillers < 6 HP (com),,,
Lawn/Garden,2265004025,4-Str Trimmers/Edgers/Brush Cutter (res),,,
Lawn/Garden,2265004026,4-Str Trimmers/Edgers/Brush Cutter (com),,,
Lawn/Garden,2265004030,4-Str Leafblowers/Vacuums (res),,,
Lawn/Garden,2265004031,4-Str Leafblowers/Vacuums (com),,,
Lawn/Garden,2265004035,4-Str Snowblowers (res),,,
Lawn/Garden,2265004036,4-Str Snowblowers (com),,,
Lawn/Garden,2265004040,4-Str Rear Engine Riding Mowers (res),,,
Lawn/Garden,2265004041,4-Str Rear Engine Riding Mowers (com),,,
Lawn/Garden,2265004046,4-Str Front Mowers (com),,,
Lawn/Garden,2265004051,4-Str Shredders < 6 HP (com),,,
Lawn/Garden,2265004055,4-Str Lawn & Garden Tractors (res),,,
Lawn/Garden,2265004056,4-Str Lawn & Garden Tractors (com),,,
Lawn/Garden,2265004066,4-Str Chippers/Stump Grinders (com),,,
Lawn/Garden,2265004071,4-Str Commercial Turf Equipment (com),,,
Lawn/Garden,2265004075,4-Str Other Lawn & Garden Eqp. (res),,,
Lawn/Garden,2265004076,4-Str Other Lawn & Garden Eqp. (com),,,
Agriculture,2260005035,2-Str Sprayers,,,
Agriculture,2265005010,4-Str 2-Wheel Tractors,,,
Agriculture,2265005015,4-Str Agricultural Tractors,,,
Agriculture,2265005020,4-Str Combines,,,
Agriculture,2265005025,4-Str Balers,,,
Agriculture,2265005030,4-Str Agricultural Mowers,,,
Agriculture,2265005035,4-Str Sprayers,,,
Agriculture,2265005040,4-Str Tillers > 6 HP,,,
Agriculture,2265005045,4-Str Swathers,,,
Agriculture,2265005055,4-Str Other Agricultural Equipment,,,
Agriculture,2265005060,4-Str Irrigation Sets,,,
Commercial,2260006005,2-Str Generator Sets,"Gasline equipment operation, 2-stroke generator",23: Construction / 2389: Other Specialty Trade Contractors,23: Construction / 2389: Other Specialty Trade Contractors
Commercial,2260006010,2-Str Pumps,,,
Commercial,2260006015,2-Str Air Compressors,,,
Commercial,2260006035,2-Str Hydro Power Units,,,
Commercial,2265006005,4-Str Generator Sets,"Gasline equipment operation, 4-stroke generator",23: Construction / 2389: Other Specialty Trade Contractors,23: Construction / 2389: Other Specialty Trade Contractors
Commercial,2265006010,4-Str Pumps,,,
Commercial,2265006015,4-Str Air Compressors,,,
Commercial,2265006025,4-Str Welders,,,
Commercial,2265006030,4-Str Pressure Washers,,,
Commercial,2265006035,4-Str Hydro Power Units,,,
Logging,2260007005,2-Str Chain Saws > 6 HP,,,
Logging,2265007010,4-Str Shredders > 6 HP,,,
Logging,2265007015,4-Str Forest Eqp - Feller/Bunch/Skidder,,,
Airport Support,2265008005,4-Str Airport Support Equipment,,,
Oil Field,2265010010,4-Str Other Oil Field Equipment,,,
Pleasure Craft,2282005010,2-Str Outboard,,,
Pleasure Craft,2282005015,2-Str Personal Water Craft,,,
Pleasure Craft,2282010005,4-Str Inboard/Sterndrive,,,
Railroad Support,2285004015,4-Str Railway Maintenance,,,
Construction,2268002081,CNG - Other Construction Equipment,,,
Industrial,2268003020,CNG - Forklifts,,,
Industrial,2268003040,CNG - Other General Industrial Eqp,,,
Industrial,2268003060,CNG - ACRefrigeration,,,
Industrial,2268003070,CNG - Terminal Tractors,,,
Agriculture,2268005055,CNG - Other Agricultural Equipment,,,
Agriculture,2268005060,CNG - Irrigation Sets,,,
Commercial,2268006005,CNG - Generator Sets,,,
Commercial,2268006010,CNG - Pumps,,,
Commercial,2268006015,CNG - Air Compressors,,,
Commercial,2268006020,CNG - Gas Compressors,,,
Oil Field,2268010010,CNG - Other Oil Field Equipment,,,
Recreational,2267001060,LPG - Specialty Vehicle Carts,,,
Construction,2267002003,LPG - Pavers,,,
Construction,2267002015,LPG - Rollers,,,
Construction,2267002021,LPG - Paving Equipment,,,
Construction,2267002024,LPG - Surfacing Equipment,,,
Construction,2267002030,LPG - Trenchers,,,
Construction,2267002033,LPG - Bore/Drill Rigs,,,
Construction,2267002039,LPG - Concrete/Industrial Saws,,,
Construction,2267002045,LPG - Cranes,,,
Construction,2267002054,LPG - Crushing/Proc. Equipment,,,
Construction,2267002057,LPG - Rough Terrain Forklift,,,
Construction,2267002060,LPG - Rubber Tire Loaders,,,
Construction,2267002066,LPG - Tractors/Loaders/Backhoes,,,
Construction,2267002072,LPG - Skid Steer Loaders,,,
Construction,2267002081,LPG - Other Construction Equipment,,,
Industrial,2267003010,LPG - Aerial Lifts,,,
Industrial,2267003020,LPG - Forklifts,,,
Industrial,2267003030,LPG - Sweepers/Scrubbers,,,
Industrial,2267003040,LPG - Other General Industrial Eqp,,,
Industrial,2267003050,LPG - Other Material Handling Eqp,,,
Industrial,2267003070,LPG - Terminal Tractors,,,
Lawn/Garden,2267004066,LPG - Chippers/Stump Grinders (com),,,
Agriculture,2267005055,LPG - Other Agricultural Equipment,,,
Commercial,2267006005,LPG - Generator Sets,,,
Commercial,2267006010,LPG - Pumps,,,
Commercial,2267006015,LPG - Air Compressors,,,
Commercial,2267006025,LPG - Welders,,,
Commercial,2267006030,LPG - Pressure Washers,,,
Commercial,2267006035,LPG - Hydro Power Units,,,
Airport Support,2267008005,LPG - Airport Support Equipment,,,
Railroad Support,2285006015,LPG - Railway Maintenance,,,
Recreational,2270001060,Dsl - Specialty Vehicle Carts,,,
Construction,2270002003,Dsl - Pavers,,,
Construction,2270002006,Dsl - Tampers/Rammers,,,
