sector,scc,equipment,flowname,FlowContext,ProcessContext,,,,
Logging,2270007015,Dsl - Forest Eqp - Feller/Bunch/Skidder,"forest equipment, feller/bunch/skidder","11: Agriculture, Forestry, Fishing and Hunting / 1133: Logging","11: Agriculture, Forestry, Fishing and Hunting / 1133: Logging",,,,
Agriculture,2270005030,Dsl - Agricultural Mowers,agricultural mowers,"11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production","11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production",,,,
Agriculture,2270005015,Dsl - Agricultural Tractors,agricultural tractors,"11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production","11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production",,,,
Agriculture,2270005020,Dsl - Combines,combines,"11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production","11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production",,,,
Agriculture,2270005055,Dsl - Other Agricultural Equipment,other agricultural equipment,"11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production","11: Agriculture, Forestry, Fishing and Hunting / 1151: Support Activities for Crop Production",,,,
Commercial,2260006005,2-Str Generator Sets,2-stroke generator sets,"22: Utilities / 2211: Electric Power Generation, Transmission and Distribution","22: Utilities / 2211: Electric Power Generation, Transmission and Distribution",,,,
Commercial,2265006005,4-Str Generator Sets,4-stroke generator sets,"22: Utilities / 2211: Electric Power Generation, Transmission and Distribution","22: Utilities / 2211: Electric Power Generation, Transmission and Distribution",,,,
Agriculture,2270005060,Dsl - Irrigation Sets,irrigation sets,"22: Utilities / 2213: Water, Sewage and Other Systems","22: Utilities / 2213: Water, Sewage and Other Systems",,,,
Construction,2270002033,Dsl - Bore/Drill Rigs,bore/drill rigs,23: Construction / 2371: Utility System Construction,23: Construction / 2371: Utility System Construction,,,,
Construction,2270002030,Dsl - Trenchers,trenchers,23: Construction / 2371: Utility System Construction,23: Construction / 2371: Utility System Construction,,,,
Construction,2270002036,Dsl - Excavators,excavators,"23: Construction / 2373: Highway, Street, and Bridge Construction","23: Construction / 2373: Highway, Street, and Bridge Construction",,,,
