FlowName,ProcessName,flow_uuid,process_uuid
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Alaska",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Central",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, East North Central",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Hawaii",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Northeast",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Northwest",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, South",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Southeast",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, Southwest",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, US",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, West",,
"Transport, combination truck, compressed natural gas powered","Transport, combination truck, compressed natural gas powered, West North Central",,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Alaska",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Central",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, East North Central",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Hawaii",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Northeast",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Northwest",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, South",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Southeast",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, Southwest",628c07ec-0802-39c1-ab88-1c62848ef436,
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, US",628c07ec-0802-39c1-ab88-1c62848ef436,34156f3c-28ef-33db-9ad0-6293a2aa0d52
"Transport, combination truck, diesel powered","Transport, combination truck, diesel powered, West",628c07ec-0802-39c1-ab88-1c62848ef436,
